timestamp,wind_speed,rotor_rpm,power,pitch_cmd,pitch_meas,torque,vibration,rotor_phase
2026-01-08 08:05:05,8.36,10.02,386.18334999999996,6.64,6.99,3.73,0.426,60.1
2026-01-08 08:05:06,8.9,10.57,546.9399935616327,6.1,6.226189345916762,5.06,0.381,123.5
2026-01-08 08:05:07,8.93,10.54,547.2668628605032,6.07,5.762314799881398,5.43,0.617,186.7
2026-01-08 08:05:08,9.36,11.3,654.3264873183506,5.64,5.98831272209413,5.77,0.541,254.5
2026-01-08 08:05:09,9.85,11.94,896.7575161360222,5.15,5.46411997606474,7.72,0.395,326.2
2026-01-08 08:05:10,10.99,13.1,1411.9646681128795,4.01,4.109674177783453,11.1,0.596,44.7
2026-01-08 08:05:11,10.44,12.47,1179.8258808956957,4.56,4.524913941922124,9.36,0.316,119.6
2026-01-08 08:05:12,10.2,12.36,1065.1590334228108,4.8,4.819779124094084,8.59,0.465,193.7
2026-01-08 08:05:13,7.98,9.7,282.3832078247913,7.02,7.2242110582165555,2.85,0.503,252.0
2026-01-08 08:05:14,10.25,12.41,1018.2531030334376,4.75,4.798152788038882,8.09,0.415,326.4
2026-01-08 08:05:15,9.75,11.82,829.5385707516544,5.25,5.541549291922823,6.83,0.398,37.3
2026-01-08 08:05:16,10.99,13.07,1386.0513375362343,4.01,4.284347699987831,10.82,0.274,115.8
2026-01-08 08:05:17,10.1,12.18,873.609714533667,4.9,5.096497502764308,7.45,0.571,188.8
2026-01-08 08:05:18,6.82,8.21,121.22809243696943,8.18,8.137950750531415,1.59,0.431,238.1
2026-01-08 08:05:19,10.81,12.96,1406.2203170035727,4.19,4.028662242552703,10.81,0.576,315.9
2026-01-08 08:05:20,7.96,9.57,285.06808191555604,7.04,7.558589705462781,2.97,0.593,13.3
2026-01-08 08:05:21,11.45,13.73,1621.721070471207,3.55,3.4576939601009706,11.88,0.492,95.7
2026-01-08 08:05:22,13.16,14.91,2380.3892372211044,1.84,1.9659390761335507,16.05,0.59,185.2
2026-01-08 08:05:23,10.86,13.06,1391.540949211056,4.14,4.373292513854377,11.09,0.487,263.5
2026-01-08 08:05:24,8.74,10.58,515.8299958907882,6.26,6.469725252604232,4.87,0.51,327.0
2026-01-08 08:05:25,9.59,11.49,745.2856120210171,5.41,6.105211905302108,6.65,0.552,36.0
2026-01-08 08:05:26,9.26,11.12,661.583447599683,5.74,5.78973081863642,6.28,0.529,102.7
2026-01-08 08:05:27,11.32,13.52,1674.5445745389577,3.68,3.853264158520732,12.6,0.303,183.8
2026-01-08 08:05:28,10.89,12.87,1360.5707005904098,4.11,4.535797980476751,11.21,0.496,261.0
2026-01-08 08:05:29,10.9,13.18,1326.1515324849956,4.1,4.16732228466681,10.16,0.734,340.1
2026-01-08 08:05:30,10.39,12.52,1122.7543946117855,4.61,4.907831055358658,9.69,0.535,55.2
2026-01-08 08:05:31,8.79,10.54,474.2171221891879,6.21,6.227322284666809,4.6,0.612,118.5
2026-01-08 08:05:32,9.13,10.81,564.4019551914558,5.87,6.495797980476751,5.47,0.437,183.4
2026-01-08 08:05:33,12.02,14.55,2054.698268511427,2.98,3.373264158520732,14.62,0.498,270.7
2026-01-08 08:05:34,10.09,12.27,894.4666798968262,4.91,5.309730818636419,7.47,0.567,344.3
2026-01-08 08:05:35,9.73,11.68,860.3959926050732,5.27,5.4452119053021075,6.96,0.428,54.4
2026-01-08 08:05:36,10.0,12.05,857.517930578692,5.0,5.549725252604231,7.34,0.668,126.7
2026-01-08 08:05:37,10.33,12.46,1075.384580754205,4.67,4.873292513854377,8.62,0.465,201.5
2026-01-08 08:05:38,12.23,14.64,2315.987888506426,2.77,3.0259390761335503,16.46,0.452,289.3
2026-01-08 08:05:39,9.35,11.33,697.2208519025597,5.65,5.53769396010097,6.03,0.561,357.3
2026-01-08 08:05:40,11.21,13.51,1536.8004047576408,3.79,4.088589705462781,11.44,0.534,78.3
2026-01-08 08:05:41,9.68,11.77,803.8168803125126,5.32,5.558662242552703,6.45,0.595,149.0
2026-01-08 08:05:42,7.8,9.37,270.561696474497,7.2,7.117950750531414,2.95,0.411,205.2
2026-01-08 08:05:43,9.45,11.34,693.3926459471822,5.55,5.736497502764308,6.22,0.476,273.2
2026-01-08 08:05:44,9.8,11.64,873.978405953478,5.2,5.3343476999878305,7.16,0.487,343.0
2026-01-08 08:05:45,11.46,13.73,1674.2901858262353,3.54,3.421549291922823,12.16,0.601,65.4
