filename,fault_type,blade_id,severity,fault_start_idx,max_drift_deg,power_loss_pct,spike_amplitude
pitch_drift_002_b2_s70.csv,pitch_drift,2.0,0.70649312201726,6930.0,6.23895873210356,,
erosion_007_b1_s61.csv,erosion,1.0,0.6128865654622104,3092.0,,0.14193298481933156,
cyclic_vibration_009_b2_s72.csv,cyclic_vibration,2.0,0.7267760847539653,6079.0,,,4.407104339015861
cyclic_vibration_000_b2_s80.csv,cyclic_vibration,2.0,0.8072129975357045,7590.0,,,4.728851990142818
cyclic_vibration_002_b1_s75.csv,cyclic_vibration,1.0,0.7542223751618131,4472.0,,,4.5168895006472525
healthy_018.csv,normal,,0.0,,,,
pitch_drift_007_b1_s55.csv,pitch_drift,1.0,0.5570244490808011,7401.0,5.342146694484806,,
pitch_drift_015_b3_s75.csv,pitch_drift,3.0,0.7545360393426415,8172.0,6.527216236055849,,
healthy_022.csv,normal,,0.0,,,,
erosion_005_b3_s47.csv,erosion,3.0,0.47976919919197647,9152.0,,0.12196537987879646,
cyclic_vibration_018_b3_s55.csv,cyclic_vibration,3.0,0.5579090015974986,10822.0,,,3.7316360063899943
pitch_drift_014_b1_s45.csv,pitch_drift,1.0,0.454649503364161,3936.0,4.727897020184966,,
pitch_drift_000_b2_s63.csv,pitch_drift,2.0,0.6392395310152263,9151.0,5.835437186091358,,
erosion_018_b1_s48.csv,erosion,1.0,0.48911528544104743,2896.0,,0.12336729281615712,
pitch_drift_005_b1_s61.csv,pitch_drift,1.0,0.6124558577248786,10390.0,5.674735146349272,,
cyclic_vibration_015_b3_s47.csv,cyclic_vibration,3.0,0.4744883298402448,7266.0,,,3.397953319360979
pitch_drift_011_b3_s57.csv,pitch_drift,3.0,0.5797712085617995,11280.0,5.478627251370797,,
pitch_drift_001_b2_s51.csv,pitch_drift,2.0,0.5156621107173145,6743.0,5.093972664303887,,
pitch_drift_017_b1_s82.csv,pitch_drift,1.0,0.8247387778321773,9183.0,6.948432666993064,,
cyclic_vibration_019_b3_s35.csv,cyclic_vibration,3.0,0.35955252269979726,5133.0,,,2.9382100907991893
cyclic_vibration_003_b3_s32.csv,cyclic_vibration,3.0,0.3291964961506021,8549.0,,,2.8167859846024084
cyclic_vibration_004_b1_s86.csv,cyclic_vibration,1.0,0.8636259901665955,7214.0,,,4.954503960666382
healthy_020.csv,normal,,0.0,,,,
erosion_014_b2_s59.csv,erosion,2.0,0.5990461396407675,9604.0,,0.13985692094611513,
healthy_001.csv,normal,,0.0,,,,
healthy_015.csv,normal,,0.0,,,,
healthy_006.csv,normal,,0.0,,,,
cyclic_vibration_011_b2_s88.csv,cyclic_vibration,2.0,0.8866574734882717,7641.0,,,5.046629893953087
healthy_007.csv,normal,,0.0,,,,
erosion_004_b1_s74.csv,erosion,1.0,0.7464690121022091,10855.0,,0.16197035181533137,
healthy_017.csv,normal,,0.0,,,,
healthy_016.csv,normal,,0.0,,,,
cyclic_vibration_001_b2_s41.csv,cyclic_vibration,2.0,0.41115880722084486,5003.0,,,3.1446352288833794
healthy_024.csv,normal,,0.0,,,,
pitch_drift_003_b3_s67.csv,pitch_drift,3.0,0.6759002400815451,9525.0,6.055401440489271,,
healthy_025.csv,normal,,0.0,,,,
erosion_016_b3_s45.csv,erosion,3.0,0.45018577268389687,4033.0,,0.11752786590258453,
erosion_012_b1_s78.csv,erosion,1.0,0.7865863963164352,6172.0,,0.16798795944746528,
cyclic_vibration_012_b1_s34.csv,cyclic_vibration,1.0,0.34073386404144584,8240.0,,,2.8629354561657836
erosion_006_b1_s74.csv,erosion,1.0,0.7442071574426329,10107.0,,0.16163107361639495,
cyclic_vibration_005_b3_s52.csv,cyclic_vibration,3.0,0.524234328160112,6197.0,,,3.596937312640448
erosion_001_b2_s59.csv,erosion,2.0,0.598215161595367,5503.0,,0.13973227423930507,
healthy_000.csv,normal,,0.0,,,,
healthy_027.csv,normal,,0.0,,,,
cyclic_vibration_006_b1_s35.csv,cyclic_vibration,1.0,0.3551416963318523,8565.0,,,2.9205667853274093
healthy_021.csv,normal,,0.0,,,,
pitch_drift_019_b3_s38.csv,pitch_drift,3.0,0.38143071492252945,10923.0,4.2885842895351765,,
erosion_013_b2_s59.csv,erosion,2.0,0.5996409136142105,3098.0,,0.13994613704213157,
healthy_019.csv,normal,,0.0,,,,
healthy_002.csv,normal,,0.0,,,,
erosion_008_b3_s79.csv,erosion,3.0,0.7914350628736885,6214.0,,0.16871525943105325,
pitch_drift_009_b3_s39.csv,pitch_drift,3.0,0.39348568676600626,7792.0,4.360914120596037,,
cyclic_vibration_017_b2_s68.csv,cyclic_vibration,2.0,0.6813626994676356,9000.0,,,4.2254507978705425
erosion_009_b1_s56.csv,erosion,1.0,0.5614899782523696,4454.0,,0.13422349673785544,
pitch_drift_016_b3_s30.csv,pitch_drift,3.0,0.3067648052140497,9626.0,3.840588831284298,,
cyclic_vibration_008_b3_s76.csv,cyclic_vibration,3.0,0.7610645860511693,11373.0,,,4.544258344204677
cyclic_vibration_010_b3_s79.csv,cyclic_vibration,3.0,0.7991635682117753,8198.0,,,4.696654272847101
pitch_drift_012_b2_s65.csv,pitch_drift,2.0,0.6597299937069365,2902.0,5.958379962241619,,
healthy_026.csv,normal,,0.0,,,,
healthy_008.csv,normal,,0.0,,,,
healthy_010.csv,normal,,0.0,,,,
cyclic_vibration_016_b2_s75.csv,cyclic_vibration,2.0,0.7501959485051031,4191.0,,,4.500783794020412
